part_nr;participant_name;date_and_time;time_on_screen;time_since_last_pop;xyY(x);xyY(y);xyY(Y);P3_R;P3_G;P3_B;base_P3_x;base_P3_y;base_P3_Y;base_P3_R;base_P3_G;base_P3_B;differentiated?;distance_to_base_xyY;distamce_to_base_P3;lvl_nr;stage_nr;part_age;part_sex;part_eye_correct;part_nearfar;part_eye_color;part_birth;part_reciding;place_on_screen(x);place_on_screen(y)
;;2/24/2025 12:38:33 PM;0.4;2.079999;0.4330595;0.3420331;0.2900618;0.7782793;0.4932289;0.4537979;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.008135016;1.027096;1;0;;;;;;;;-4.96;3.7
;;2/24/2025 12:38:33 PM;0.4;2.079999;0.4273072;0.3362808;0.2900618;0.7768184;0.4927848;0.4689972;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0;1.03259;1;0;;;;;;;;-4.639999;-3.23
;;2/24/2025 12:38:33 PM;0.12;0.9599996;0.4273072;0.3478356;0.2900618;0.7625433;0.5030811;0.4493372;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;True;0.01155481;1.01807;1;0;;;;;;;;-8.97;2.29
;;2/24/2025 12:38:34 PM;0.4600001;2.719998;0.4157524;0.3362808;0.2900618;0.7589741;0.5025454;0.4794714;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.01155481;1.028828;1;0;;;;;;;;-5.17;0.64
;;2/24/2025 12:38:34 PM;0.4600001;2.719998;0.4260344;0.3375536;0.2900618;0.7732781;0.4950469;0.4679882;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.001800008;1.030555;1;0;;;;;;;;-3.15;-0.48
;;2/24/2025 12:38:34 PM;0.4600001;2.719998;0.4318844;0.340858;0.2900618;0.7779852;0.4931395;0.456912;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.00647325;1.02821;1;0;;;;;;;;1.24;3.69
;;2/24/2025 12:38:34 PM;0.4600001;2.719998;0.4268072;0.3362808;0.2900618;0.7760574;0.4932122;0.4694566;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.0004999936;1.032431;1;0;;;;;;;;1.08;0.14
;;2/24/2025 12:38:34 PM;0.4600001;2.719998;0.4203559;0.3293295;0.2900618;0.7749799;0.4922266;0.4872406;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.009830605;1.039367;1;0;;;;;;;;-9.03;-2.37
;;2/24/2025 12:38:34 PM;0.4600001;2.719998;0.4273072;0.3357808;0.2900618;0.7774503;0.4923169;0.4698545;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.0004999936;1.033232;1;0;;;;;;;;-4.96;3.7
;;2/24/2025 12:38:34 PM;0.4600001;2.719998;0.4238757;0.3328493;0.2900618;0.7759212;0.4925123;0.4780171;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.004852872;1.035916;1;0;;;;;;;;-4.639999;-3.23
;;2/24/2025 12:38:34 PM;0.04;0.32;0.4273072;0.3395674;0.2900618;0.7726948;0.4958126;0.4633766;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;True;0.0032866;1.028399;1;0;;;;;;;;-8.97;2.29
;;2/24/2025 12:38:34 PM;0.4;2.879998;0.4215548;0.3420331;0.2900618;0.7608609;0.5027755;0.4644753;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.008135016;1.02344;1;0;;;;;;;;-5.17;0.64
;;2/24/2025 12:38:34 PM;0.4;2.879998;0.4227299;0.340858;0.2900618;0.7641119;0.5007824;0.465391;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.00647325;1.025299;1;0;;;;;;;;-3.15;-0.48
;;2/24/2025 12:38:34 PM;0.4;2.879998;0.4215548;0.3305284;0.2900618;0.7753029;0.4923246;0.4841016;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.008135016;1.038187;1;0;;;;;;;;1.24;3.69
;;2/24/2025 12:38:34 PM;0.4;2.879998;0.4273072;0.3411337;0.2900618;0.7707475;0.497227;0.4607064;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.004852891;1.026419;1;0;;;;;;;;1.08;0.14
;;2/24/2025 12:38:34 PM;0.4;2.879998;0.4273072;0.3229769;0.2900618;0.7940566;0.4796285;0.492026;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.01330391;1.050076;1;0;;;;;;;;-9.03;-2.37
;;2/24/2025 12:38:34 PM;0.4;2.879998;0.4278072;0.3362808;0.2900618;0.7775785;0.4923569;0.4685374;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.0004999936;1.032749;1;0;;;;;;;;-4.96;3.7
